Principles: Life and Work,Arts & Photography,19-Sep-17,by Ray Dalio and Jeremy Bobb,Audible Audio Edition,0,,4.5,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
,Arts & Photography,,Unknown,,9.59,15.99,4.8,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
Obama: An Intimate Portrait,Arts & Photography,7-Nov-17,by Pete Souza and Barack Obama,Hardcover,36.43,50,4.9,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Arts & Photography,14-Oct-14,by Marie Kond¨­,Hardcover,9.89,16.99,4.4,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
The Anatomy Coloring Book,Arts & Photography,6-Apr-13,by Wynn Kapit and Lawrence M. Elson,Paperback,18.49,27.2,4.4,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
Our Q&A a Day: 3-Year Journal for 2 People,Arts & Photography,24-Sep-13,by Potter Gift,Diary,10.17,16.95,4.7,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brh Lettering,Arts & Photography,27-Oct-17,by Paper Peony Press,Paperback,6.99,,4.7,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
Hamilton: The Revolution,Arts & Photography,12-Apr-16,by Lin-Manuel Miranda and Jeremy McCarter,Hardcover,29.02,45,4.8,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
Go the F**k to Sleep,Arts & Photography,14-Jun-11,by Adam Mansbach and Ricardo Cort¨¦s,Hardcover,13.32,14.95,4.7,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
Calm the F*ck Down: An Irreverent Adult Coloring Book,Arts & Photography,6-Jan-16,by Sasha O'Hara,Paperback,5.24,,4.4,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
Gateways to Art: Understanding the Visual Arts (Second edition),Arts & Photography,22-Sep-15,by Debra J. DeWitte and Ralph M. Larmann,Paperback,19.32,,4.3,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
Adult All-In-One Course: Lesson-Theory-Technic: Level 1,Arts & Photography,1-Jul-94,by Willard A. Palmer and Morton Man,Plastic Comb,11.55,16.99,4.6,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
