Name, category,publishtime,author,version,currentprice,primeprice,feedback,web
The Little Book of Hygge,All Art & Photography,1-Dec-16,Meik Wiking,Hardback,14.77,0,3.5,https://www.bookdepository.com/The-Little-Book-of-Hygge-Meik-Wiking/9780241283912?ref=grid-view
Fantastic Beasts and Where to Find Them,All Art & Photography,19-Nov-16,J. K. Rowling,Hardback,18.43,23.58,4.5,https://www.bookdepository.com/Fantastic-Beasts-and-Where-Find-Them-J-K-Rowling/9781408708989?ref=grid-view
Harry Potter - A History of Magic,All Art & Photography,20-Oct-17,British Library,Hardback,40.87,41.64,4,https://www.bookdepository.com/Harry-Potter---History-of-Magic-British-Library/9781408890769?ref=grid-view
The Complete MAUS,All Art & Photography,1-Oct-03,Art Spiegelman,Paperback,22.09,23.35,4.5,https://www.bookdepository.com/The-Complete-MAUS-Art-Spiegelman/9780141014081?ref=grid-view
The Mindfulness Colouring Book,All Art & Photography,24-Apr-15,Emma Farrarons,Paperback,9.3,11.09,4,https://www.bookdepository.com/The-Mindfulness-Colouring-Book-Emma-Farrarons/9780752265629?ref=grid-view
Millie Marotta's Animal Kingdom,All Art & Photography,7-Jul-16,Millie Marotta,Paperback,14.92,0,4.5,https://www.bookdepository.com/Millie-Marottas-Animal-Kingdom-Millie-Marotta/9781849941679?ref=grid-view
Humans of New York,All Art & Photography,23-Dec-14,Brandon Stanton,Hardback,25.53,29.48,4.5,https://www.bookdepository.com/Humans-of-New-York-Brandon-Stanton/9781250038821?ref=grid-view
The Hare with Amber Eyes,All Art & Photography,27-Jan-11,Edmund de Waal,Paperback,12.04,13.74,4,https://www.bookdepository.com/The-Hare-with-Amber-Eyes-Edmund-de-Waal/9780099539551?ref=grid-view
Ways of Seeing,All Art & Photography,1-Mar-09,John Berger,Paperback,10.62,19.75,3.5,https://www.bookdepository.com/Ways-of-Seeing-John-Berger/9780141035796?ref=grid-view
Harry Potter - A Journey Through A History of Magic,All Art & Photography,20-Oct-17,British Library,Paperback,19.99,0,4.5,https://www.bookdepository.com/Harry-Potter---Journey-Through-History-of-Magic-British-Library/9781408890776?ref=grid-view
Born to Run,All Art & Photography,7-Dec-16,Bruce Springsteen,Hardback,24.54,27.76,4,https://www.bookdepository.com/Born-Run-Bruce-Springsteen/9781471157790?ref=grid-view
Just Kids,All Art & Photography,1-Jan-11,Patti Smith,Paperback,12.92,13.77,4,https://www.bookdepository.com/Just-Kids-Patti-Smith/9780747568766?ref=grid-view
Bossypants,All Art & Photography,29-Jan-13,Tina Fey,Paperback,9.33,0,4,https://www.bookdepository.com/Bossypants-Tina-Fey/9780316056892?ref=grid-view
Chanel,All Art & Photography,17-Jul-07,Daniele Bott,Hardback,30.71,39.33,4,https://www.bookdepository.com/Chanel-Daniele-Bott/9780500513606?ref=grid-view
Scar Tissue,All Art & Photography,3-Nov-05,Anthony Kiedis,Paperback,13.55,17.39,4,https://www.bookdepository.com/Scar-Tissue-Anthony-Kiedis/9780751535662?ref=grid-view
Millie Marotta's Tropical Wonderland,All Art & Photography,23-Jul-15,Millie Marotta,Paperback,14.92,0,4.5,https://www.bookdepository.com/Millie-Marottas-Tropical-Wonderland-Millie-Marotta/9781849942850?ref=grid-view
Darth Vader and Son,All Art & Photography,18-Apr-12,Jeffrey Brown,Hardback,12.06,14.7,4,https://www.bookdepository.com/Darth-Vader-and-Son-Jeffrey-Brown/9781452106557?ref=grid-view
Music Theory in Practice  Grade 1,All Art & Photography,1-Mar-08,Eric Taylor,Sheet music,8.8,0,4,https://www.bookdepository.com/Music-Theory-in-Practice-Grade-1-Eric-Taylor/9781860969423?ref=grid-view
My Booky Wook,All Art & Photography,7-Oct-08,Russell Brand,Paperback,12.52,US$14.95 ,3.5,https://www.bookdepository.com/My-Booky-Wook-Russell-Brand/9780340936177?ref=grid-view
John Thompson's Easiest Piano Course,All Art & Photography,1-Nov-05,John Thompson,Paperback,8.44,0,4,https://www.bookdepository.com/John-Thompsons-Easiest-Piano-Course-John-Thompson/9780877180128?ref=grid-view
Harry Potter: Collectible Quidditch Set,All Art & Photography,30-Jun-16,Running Press,Paperback,23.49,29.96,4.5,https://www.bookdepository.com/Harry-Potter-Collectible-Quidditch-Set-Running-Press/9780762459452?ref=grid-view
The Legend of Zelda,All Art & Photography,26-Mar-13,Akira Himekawa,Hardback,33.31,34.4,4.5,https://www.bookdepository.com/The-Legend-of-Zelda-Akira-Himekawa-Patrick-Thorpe-Shigeru-Miyamoto-Eiji-Aonuma/9781616550417?ref=grid-view
Lost Ocean,All Art & Photography,22-Oct-15,Johanna Basford,Paperback,15.34,18.03,4.5,https://www.bookdepository.com/Lost-Ocean-Johanna-Basford/9780753557150?ref=grid-view
Moleskine Pocket Watercolour Notebook,All Art & Photography,1-Jan-08,Moleskine,Notebook / blank book,11.26,13.71,0,https://www.bookdepository.com/Moleskine-Pocket-Watercolour-Notebook-Moleskine/9788883705601?ref=grid-view
Release Your Anger: Midnight Edition: An Adult Coloring Book with 40 Swear Words to Color and Relax,All Art & Photography,28-Jul-16,James Alexander,Paperback,10.23,0,4,https://www.bookdepository.com/Release-Your-Anger-Midnight-Edition-An-Adult-Coloring-Book-with-40-Swear-Words-Color-and-Relax-James-Alexander/9780753545669?ref=grid-view
Creative Lettering and Beyond,All Art & Photography,3-Nov-14,Gabri Joy Kirkendall,Paperback,19.32,19.61,4,https://www.bookdepository.com/Creative-Lettering-and-Beyond-Gabri-Joy-Kirkendall-Laura-Lavender-Julie-Manwaring-Shauna-Lynn-Panczyszyn/9781600583971?ref=grid-view
Music Theory in Practice  Grade 2,All Art & Photography,1-May-08,Eric Taylor,Sheet music,8.88,0,4.5,https://www.bookdepository.com/Music-Theory-in-Practice-Grade-2-Eric-Taylor/9781860969430?ref=grid-view
Secrets for the Mad,All Art & Photography,2-Nov-17,dodie,Hardback,21.53,23.58,4.5,https://www.bookdepository.com/Secrets-for-the-Mad-dodie/9781785036804?ref=grid-view
The Kinfolk Home,All Art & Photography,8-Jan-16,Nathan Williams,Hardback,32.12,34.41,3.5,https://www.bookdepository.com/The-Kinfolk-Home-Nathan-Williams/9781579656652?ref=grid-view
Modern Romance,All Art & Photography,4-Feb-16,Aziz Ansari,Paperback,12.38,12.48,4,https://www.bookdepository.com/Modern-Romance-Aziz-Ansari/9780141981468?ref=grid-view
