Name,category,publishtime,author,version,currentprice,primeprice,feedback,URL_Á´½Ó
Stealing the Network: The Complete Series Collector's Edition  Final Chapter  and DVD,All Computing,4-Jun-09,Johnny Long,Hardback,67.95,89.95,4.5,https://www.bookdepository.com/Stealing-the-Network-The-Complete-Series-Collectors-Edition-Final-Chapter-and-DVD-Johnny-Long-Ryan-Russell-Timothy-Mullen/9781597492997?ref=grid-view
Developing Windows 10 Applications with C#,All Computing,14-Jan-16,Sergii Baidachnyi,Paperback,42.53,0,3.5,https://www.bookdepository.com/Developing-Windows-10-Applications-with-C-Sergii-Baidachnyi/9781522894919?ref=grid-view
Joomla! Programming,All Computing,28-Jun-12,Mark Dexter,Paperback,38.56,49.99,3.5,https://www.bookdepository.com/Joomla-Programming-Mark-Dexter-Louis-Landry/9780132780810?ref=grid-view
How to Do Everything MacBook Air,All Computing,29-Nov-12,Jason R. Rich,Paperback,23.18,25,3,https://www.bookdepository.com/How-Do-Everything-MacBook-Air-Jason-R-Rich/9780071802499?ref=grid-view
Digital Design and Computer Architecture,All Computing,4-Jun-15,David Harris,Paperback,75.69,99.94,4,https://www.bookdepository.com/Digital-Design-and-Computer-Architecture-David-Harris-Sarah-Harris/9780128000564?ref=grid-view
Certified Ethical Hacker (CEH) Foundation Guide,All Computing,1-Dec-16,Sagar Rahalkar,Paperback,22.25,24.57,5,https://www.bookdepository.com/Certified-Ethical-Hacker-CEH-Foundation-Guide-Sagar-Rahalkar/9781484223246?ref=grid-view
Powerpoint 2010 in easy steps,All Computing,7-Sep-10,Andrew Edney,Paperback,14.99,0,4,https://www.bookdepository.com/Powerpoint-2010-in-easy-steps-Andrew-Edney/9781840784053?ref=grid-view
Pulling Strings with Puppet,All Computing,4-Feb-08,James Turnbull,Paperback,36.63,0,3,https://www.bookdepository.com/Pulling-Strings-with-Puppet-James-Turnbull/9781590599785?ref=grid-view
Autotools,All Computing,17-Aug-10,John Calcote,Paperback,43.82,44.95,4,https://www.bookdepository.com/Autotools-John-Calcote/9781593272067?ref=grid-view
CSS Cookbook,All Computing,19-Jan-10,Christopher Schmitt,Paperback,34.55,49.99,4,https://www.bookdepository.com/CSS-Cookbook-Christopher-Schmitt/9780596155933?ref=grid-view
Sound Advice on,All Computing,31-Oct-02,Bill Gibson,Mixed media product,15.03,0,4,https://www.bookdepository.com/Sound-Advice-on-Bill-Gibson/9781931140256?ref=grid-view
They Fight Like Soldiers  They Die Like Children,All History & Archaeology,1-Sep-11,Romeo Dallaire,Paperback,13.1,20.75,4,https://www.bookdepository.com/They-Fight-Like-Soldiers-They-Die-Like-Children-Romeo-Dallaire/9780099514787?ref=grid-view
14-Jul,All History & Archaeology,6-Feb-14,Sean McMeekin,Paperback,14.35,0,4,https://www.bookdepository.com/July-1914-Sean-McMeekin/9781848316577?ref=grid-view
Grandma Gatewood's Walk,All History & Archaeology,1-Apr-16,Ben Montgomery,Paperback,18.43,0,4,https://www.bookdepository.com/Grandma-Gatewoods-Walk-Ben-Montgomery/9781613734995?ref=grid-view
The Plot to Hack America,All History & Archaeology,10-Oct-16,Malcolm Nance,Paperback,16.99,18.99,4,https://www.bookdepository.com/The-Plot-Hack-America-Malcolm-Nance/9781510723320?ref=grid-view
